ら戳,放,程放,程蔼放,癸楞,羆秖,キА硉,程皚,溃,羆冻秖
2025/3/20,15.3,,,67,,12.7,,,
2025/3/21,16.3,9.3,23.3,61,,9.4,,,
2025/3/22,16.8,9.3,23.3,66,0,6.6,,1019.9,0
2025/3/23,18.1,12.3,24.3,64,0,5.3,,1017.3,0
2025/3/24,20.4,14.3,27.3,72,0,11,,1013.3,0
2025/3/25,22.4,17.3,28.3,79,0,12.3,,1010.1,0
2025/3/26,23.7,18.3,30.3,82,0,18.8,,1008.4,1
2025/3/27,25.9,22.3,32.3,76,0,20,,1008.2,3
2025/3/28,20.9,16.3,24.3,80,0,22.7,,1012.1,3
2025/3/29,15.4,14.3,18.3,80,0,27.4,,1016.7,4
2025/3/30,13.6,12.3,15.3,95,15.9,26.4,,1018.7,8
2025/3/31,14.2,12.3,16.3,100,12.3,23.6,,1016.8,8
2025/4/1,14.8,13.3,17.3,88,3.7,28.7,,1016,4
2025/4/2,16,13.3,21.3,72,0,18.4,,1016.9,4
2025/4/3,19.5,13.3,26.3,72,0.3,8.4,,1016.8,2
2025/4/4,20.8,15.3,26.3,72,0,7.3,,1016,1
2025/4/5,18.3,17.3,19.3,95,4.5,11.2,,1015.4,8
2025/4/6,19.3,16.3,24.3,84,0.1,13.3,,1014.5,6
2025/4/7,23.2,19.3,28.3,79,0.3,8,,1016,3
2025/4/8,22.8,19.3,28.3,80,0,7.9,,1016.3,7
2025/4/9,22.9,19.3,27.3,74,0,8.6,,1013,6
2025/4/10,22.8,20.3,27.3,87,11.5,10.5,,1009.8,6
2025/4/11,23.6,18.3,28.3,81,8.3,7.5,,1010.4,4
2025/4/12,24.8,19.3,27.3,78,43.7,19.8,,1009.3,7
2025/4/13,16.6,15.3,19.3,63,17.8,23.8,,1012.9,8
2025/4/14,20.5,15.3,26.3,69,0,11.2,,1011.5,2
2025/4/15,20.8,14.3,27.3,58,0,13.1,,1012.6,3
2025/4/16,21,13.3,27.3,67,0,8.7,,1012.8,2
2025/4/17,23.1,17.3,28.3,73,0,8.6,,1010.8,5
2025/4/18,24.7,22.3,28.3,79,6.6,11.7,,1010.7,7
2025/4/19,25.6,22.3,29.3,80,0.8,13,,1010.9,2
2025/4/20,24.1,22.3,28.3,88,5.1,10.3,,1012.2,2
2025/4/21,25.3,21.3,30.3,82,0,9.7,,1012.8,2
2025/4/22,26.2,22.3,31.3,75,0,21.1,,1010.6,2
2025/4/23,24.4,20.3,28.3,85,6,13.3,,1010.1,3
2025/4/24,24.5,21.3,28.3,90,1,8.7,,1010.5,3
2025/4/25,21.3,18.3,24.3,90,4.3,14.5,,1012.6,3
2025/4/26,19.9,17.3,22.3,92,14,8.4,,1015,2
2025/4/27,22.6,18.3,27.3,88,0,7.5,,1013.5,2
2025/4/28,21.3,19.3,23.3,92,8.5,9.8,,1011.8,3
2025/4/29,22.1,16.3,27.3,64,0,12,,1012.3,2
2025/4/30,23.1,18.3,27.3,80,0,8.4,,1013.4,2
2025/5/1,23.3,20.3,26.3,76,0,8.4,,1013.2,2
2025/5/2,23.9,19.3,28.3,78,0,6.7,,1011.9,2
2025/5/3,25.3,22.3,28.3,78,0,7.8,,1011,2
2025/5/4,25,21.3,29.3,84,3.4,10.8,,1010,2
2025/5/5,26.3,23.3,30.3,83,0.8,12.9,,1008.7,2
2025/5/6,26.8,23.3,31.3,81,9.8,9.6,,1008.7,2
2025/5/7,22.8,21.3,25.3,96,20.1,9.4,,1009.8,3
2025/5/8,25.3,22.3,29.3,86,0.4,7.2,,1009.9,2
2025/5/9,27.3,24.3,33.3,80,21.7,14.8,,1009.5,2
2025/5/10,24.5,22.3,26.3,93,22,8.2,,1009.5,3
2025/5/11,20,18.3,24.3,93,40.3,14.7,,1009.2,3
2025/5/12,22.4,18.3,26.3,85,0.4,6.4,,1010.1,2
2025/5/13,24.2,20.3,29.3,78,0,8.5,,1013,2
2025/5/14,24.6,19.3,30.3,72,0,8.6,,1014,2
2025/5/15,25.5,20.3,30.3,74,0,7.8,,1013.7,2
2025/5/16,26.3,22.3,31.3,76,0,5.5,,1012.6,2
2025/5/17,27,23.3,31.3,81,5.2,9.8,,1012.1,2
2025/5/18,27.8,24.3,32.3,80,2.5,11.6,,1011.5,2
2025/5/19,27.4,23.3,32.3,79,0.2,11,,1010.3,2
2025/5/20,28.9,25.3,35.3,70,0,11.8,,1010.7,2
2025/5/21,28.2,25.3,31.3,78,1.1,12.9,,1010.5,3
2025/5/22,28.4,24.3,34.3,75,0,11.2,,1008.6,2
2025/5/23,28.8,25.3,32.3,72,0.2,17.3,,1007.2,2
2025/5/24,25.2,21.3,29.3,86,12.3,14.9,,1009.6,3
2025/5/25,20.4,19.3,22.3,83,37.9,18.5,,1012.7,2
2025/5/26,19.6,18.3,21.3,86,2.1,15.1,,1014.3,3
2025/5/27,23.3,17.3,29.3,85,0,8.9,,1013.7,2
2025/5/28,24.1,21.3,28.3,88,14,8.6,,1011.1,3
2025/5/29,21.4,20.3,23.3,99,67.3,8.8,,1010.5,4
2025/5/30,23.3,19.3,29.3,80,0,13.7,,1010.4,2
2025/5/31,25.4,20.3,30.3,80,0,7.8,,1009,2
2025/6/1,27.1,22.3,32.3,81,0.5,10.3,,1005.1,2
2025/6/2,27.3,25.3,31.3,89,2,18.4,,1003.9,3
2025/6/3,25.5,22.3,27.3,94,34.1,11.9,,1004.6,3
2025/6/4,24.4,22.3,28.3,92,29.2,8.9,,1007.7,3
2025/6/5,26,23.3,29.3,91,17.8,7.1,,1009.6,3
2025/6/6,26.6,24.3,30.3,92,17.1,6.1,,1009,3
2025/6/7,28.1,25.3,31.3,84,2.7,11.5,,1008.3,2
2025/6/8,28.2,25.3,31.3,84,1.9,11,,1007.2,2
2025/6/9,28.4,25.3,32.3,82,0.1,6.8,,1006.5,2
2025/6/10,28,23.3,32.3,83,0,9.8,,1005.8,2
2025/6/11,27.9,25.3,31.3,88,0.1,10.7,,1006.6,2
2025/6/12,27.8,25.3,31.3,87,7.3,9.9,,1006,2
2025/6/13,25.1,24.3,25.3,94,30.1,19.7,,1008.6,3
2025/6/14,28.4,25.3,32.3,77,4.6,18.3,,1010.2,2
2025/6/15,29.6,25.3,33.3,70,0,23.1,,1008.1,2
2025/6/16,27.5,25.3,29.3,84,6.7,19.3,,1009.8,3
2025/6/17,27.5,25.3,30.3,84,3.4,10.4,,1012,2
2025/6/18,27.8,24.3,32.3,79,4.4,6.3,,1012.4,2
2025/6/19,27.5,24.3,31.3,77,0.5,9.9,,1012,2
2025/6/20,27.8,23.3,32.3,77,0.3,9.1,,1011.5,2
2025/6/21,27.8,24.3,32.3,81,1.8,10.9,,1011,2
2025/6/22,28.5,25.3,32.3,79,0,13.3,,1009.9,2
2025/6/23,28.8,25.3,32.3,76,0,15.5,,1007.9,2
2025/6/24,29.1,25.3,33.3,76,0,10,,1008.8,2
2025/6/25,29,25.3,32.3,78,5.1,6.2,,1010.7,2
2025/6/26,28.8,24.3,32.3,75,4.6,8.3,,1011.1,2
2025/6/27,26.4,22.3,32.3,79,17.6,8,,1010.2,2
2025/6/28,27,21.3,31.3,77,0,10.4,,1008.6,2
2025/6/29,27.4,23.3,32.3,81,1.6,8.8,,1007.1,2
2025/6/30,27.9,23.3,32.3,84,0,7.4,,1008,2
2025/7/1,29.1,25.3,33.3,82,0.1,8.5,,1009.8,2
2025/7/2,29.2,25.3,32.3,82,0,8,,1009.1,2
2025/7/3,29.7,27.3,33.3,78,3.4,11.3,,1007.5,2
2025/7/4,28.1,23.3,33.3,86,16.9,11.8,,1006.3,2
2025/7/5,26.5,23.3,31.3,87,1.3,11.2,,1006.2,2
2025/7/6,27,24.3,29.3,89,20.4,3.9,,1001.5,3
2025/7/7,27.2,23.3,31.3,87,40.9,21.1,,1001.1,3
2025/7/8,26.6,24.3,29.3,86,9.5,24,,1002.6,3
2025/7/9,24,21.3,27.3,93,20.2,18.1,,1001.2,4
2025/7/10,24.1,23.3,25.3,90,27.4,4.6,,1000.8,2
2025/7/11,25,23.3,28.3,94,16.9,4.6,,1004.2,2
2025/7/12,27.2,23.3,31.3,89,6.4,11,,1007.9,2
2025/7/13,28.6,26.3,32.3,82,0.5,13.6,,1007.6,2
2025/7/14,28.3,25.3,32.2,83,1.8,14.7,,1005.6,2
2025/7/15,28.3,23.3,32.2,86,10.5,15.3,,1004.8,2
2025/7/16,29.2,27.2,33.2,83,1.5,14.4,,1005.3,2
2025/7/17,29,26.2,33.2,83,6.1,8.2,,1004.8,2
2025/7/18,28.5,24.3,32.2,84,1.3,9,,999.6,3
2025/7/19,28.2,25.3,33.2,87,9.1,9.2,,994.3,2
2025/7/20,27,24.4,31.2,90,7.8,8.1,,999.8,2
2025/7/21,25.9,24.3,30.2,92,12.4,7.5,,1004.7,2
2025/7/22,26.8,24.3,30.2,90,0,5.9,,1004.7,2
2025/7/23,28.2,23.4,32.3,82,0.3,8.4,,1002.1,2
2025/7/24,28.9,25.3,34.2,76,0.2,18,,999.9,2
2025/7/25,26.8,25.3,30.3,87,2.5,16.2,,998,2
2025/7/26,27.3,25.3,30.2,84,15.3,16.4,,999.7,2
2025/7/27,27.8,25.3,29.4,88,12.7,17.7,,1000.5,3
2025/7/28,26.4,24.3,31.1,93,67.5,15.3,,997.9,3
2025/7/29,27.3,25.1,30.2,89,8.8,9.2,,996.6,2
2025/7/30,26.4,25.2,29.2,93,18.7,15.6,,997.5,3
2025/7/31,24.8,23.3,28.4,96,23.8,18.1,,1000.2,4
2025/8/1,27.2,23.4,31.3,91,9.7,15.1,,1002.5,2
2025/8/2,25.9,25.2,27.4,95,21.7,19.1,,1005.5,3
2025/8/3,24.9,23.3,26.4,97,15.4,16.5,,1006.6,4
2025/8/4,24.9,24.3,26.4,95,20.7,16.9,,1007.6,3
2025/8/5,26.8,24.3,30.2,88,2.8,14.7,,1009,2
2025/8/6,27.8,24.3,32.2,80,0.7,12.8,,1010.6,2
2025/8/7,27.3,22.4,33.1,80,0,6.9,,1010.6,2
2025/8/8,27.3,23.3,31.3,81,0,8.8,,1009.7,2
2025/8/9,28,24.3,32.2,84,1.3,11.5,,1009.7,2
2025/8/10,28.2,25.3,32.2,83,5.8,12.7,,1009.4,3
2025/8/11,27.6,25.2,32.2,84,8.2,13.5,,1008.6,2
2025/8/12,27.9,25.2,32.2,85,5.8,9.3,,1008.6,2
2025/8/13,26.9,24.3,32.4,84,0.3,12,,1000.6,2
2025/8/14,28.6,26.2,32.3,70,0.1,15.6,,1010,2
2025/8/15,27.5,24.3,32.4,76,0,7.8,,1009.4,2
2025/8/16,28.1,25.3,31.4,81,0,10,,1009.1,2
2025/8/17,28.3,25.2,33.3,79,1.1,10.9,,1011.2,2
2025/8/18,28.1,24.3,32.4,80,0.5,9.8,,1013,3
2025/8/19,27.8,24.3,31.4,80,1.6,9,,1013.1,3
2025/8/20,26.6,21.5,32.2,82,3,10.3,,1012.1,2
2025/8/21,27.8,23.2,32.3,78,0.5,6.4,,1012.2,2
2025/8/22,28.1,24.3,33.3,82,0,9.1,,1010.8,2
2025/8/23,28.4,25.3,32.4,81,0,8.9,,1010.7,2
2025/8/24,27.9,22.4,33.3,78,1.3,9.3,,1011.7,3
2025/8/25,28.1,23.4,34.3,78,7.7,9.6,,1011,3
2025/8/26,27.6,24.3,32.3,80,2.8,11.2,,1010.3,4
2025/8/27,26.6,24.3,32.4,81,2,9.7,,1009.1,3
2025/8/28,27.7,23.4,35.2,81,0.3,9.9,,1008.9,5
2025/8/29,28.7,25.3,33.3,79,0.2,10.5,,1010.7,1
2025/8/30,28.6,25.3,34.3,81,2.3,11.3,,1011.8,2
2025/8/31,28.1,24.3,32.3,81,0.5,6.9,,1010.2,5
2025/9/1,27.3,25.3,31.4,86,14,6.6,,1008.9,8
2025/9/2,27.2,25.3,31.3,89,5.4,6.4,,1009.1,6
2025/9/3,27.6,23.3,32.3,84,7.7,7.6,,1009.4,3
2025/9/4,28,24.3,33.3,81,2.9,8.3,,1009.3,1
2025/9/5,28.1,24.3,33.3,81,0.9,8.7,,1009.3,3
2025/9/6,28.7,24.3,33.3,81,0,8.9,,1009.1,6
2025/9/7,28,24.3,34.3,85,12,10.7,,1011.1,7
2025/9/8,28.3,23.3,33.3,82,3.3,9.8,,1012.7,6
2025/9/9,28.3,25.3,32.3,80,7.9,10.9,,1013.5,6
2025/9/10,28.1,24.3,33.3,82,0.6,8.9,,1012.8,2
2025/9/11,27.5,23.3,32.3,85,2.7,8.8,,1012.3,2
2025/9/12,27.9,23.4,33.2,81,1.6,8.2,,1012.6,2
2025/9/13,28.3,24.3,34.1,77,0.8,7.7,,1012.9,2
2025/9/14,27.8,24.3,32.2,80,1.6,4.7,,1013.5,2
2025/9/15,27.9,23.4,33.3,82,0,10.2,,1013.7,2
2025/9/16,27.8,25.2,33.3,84,0,7.3,,1012.3,2
2025/9/17,28.4,25.3,32.4,82,4.4,8.7,,1011,2
2025/9/18,27.2,24.3,32.3,88,13.5,6.8,,1010.9,2
2025/9/19,27,24.3,34.1,89,9.5,7.1,,1011.4,2
2025/9/20,26.8,22.4,31.2,88,11.8,8.3,,1010.6,2
2025/9/21,28,23.2,33.2,82,0,6.1,,1008.1,2
2025/9/22,27.7,24.3,32.4,81,0,8.5,,1002.9,2
2025/9/23,25.7,24.3,26.4,93,10.8,5.1,,1003.5,3
2025/9/24,26.3,23.4,31.3,90,1.4,7.6,,1007.6,2
2025/9/25,27.5,23.2,32.3,88,0.4,5.9,,1011.6,2
2025/9/26,26.7,23.4,29.4,93,3,5.3,,1013.5,2
2025/9/27,27.6,24.2,32.3,83,0,8.9,,1014,2
2025/9/28,27.8,24.3,33.3,83,0,8.6,,1014.3,2
2025/9/29,27.4,23.3,32.3,84,0,6.7,,1014,2
2025/9/30,27.7,24.3,32.3,83,0.8,6.7,,1013.3,2
2025/10/1,27.3,23.4,33.3,82,0,7.2,,1013.5,2
2025/10/2,27.8,24.3,32.5,81,0,7.7,,1013.9,2
2025/10/3,27.4,23.3,32.4,82,0,8.2,,1013.5,2
2025/10/4,27.7,23.4,32.4,81,0,7.5,,1013.8,2
2025/10/5,27.7,22.5,33.4,78,0.3,7.6,,1014.7,2
2025/10/6,27.3,23.4,31.5,85,0,10.4,,1013.9,2
2025/10/7,27.9,24.3,33.4,82,0.3,8.3,,1013.2,2
2025/10/8,28.4,24.4,33.4,78,0.5,5.1,,1012.7,2
2025/10/9,27.4,23.4,33.4,78,0,7.2,,1012.1,2
2025/10/10,27.5,23.4,32.4,80,0.1,5.2,,1011.8,2
2025/10/11,27.7,24.3,32.4,81,0,5.6,,1012.4,2
2025/10/12,26.7,21.5,33.3,82,0,5.8,,1013.7,2
2025/10/13,27.3,22.4,33.4,78,0,6.8,,1014.5,2
2025/10/14,27.6,23.3,34.3,80,0.1,9.8,,1014.2,2
2025/10/15,27.6,25.3,32.4,83,0.3,8.3,,1013.9,2
2025/10/16,27.5,22.4,32.4,80,0,6.6,,1014.2,2
2025/10/17,27.7,22.4,32.4,77,0,6.8,,1014,2
2025/10/18,27.9,23.4,33.4,78,0,6.5,,1012.4,2
2025/10/19,27.3,23.4,32.5,76,0.1,10.9,,1010.8,2
2025/10/20,24,22.4,26.5,87,4.6,34.2,,1012.3,3
2025/10/21,22.6,21.3,25.3,86,1.6,47.1,45,1012.9,4
2025/10/22,22,21.3,23.4,88,2,46.1,40,1012.7,4
2025/10/23,24.2,21.3,28.2,76,0,35.3,,1012.8,3
2025/10/24,24,22.3,28.3,79,0,33.7,,1013.5,3
2025/10/25,24.5,21.3,29.3,81,0,26.4,,1013.7,2
2025/10/26,23.7,21.3,28.3,81,0,27.2,,1014.7,2
2025/10/27,22.3,19.4,25.5,79,2,27.6,,1015.8,2
2025/10/28,20.9,19.4,22.6,94,13.6,16,,1016.1,3
2025/10/29,23.6,19.3,31.2,80,0.1,12.9,,1014.9,2
2025/10/30,24.8,21.3,29.2,85,1.6,10,,1015.6,4
2025/10/31,23.5,20.3,27.3,82,0,24.7,,1015.4,3
2025/11/1,23.1,20.2,28.3,72,0,21.1,,1016,2
2025/11/2,22,20.3,25.4,76,3,25,,1017.2,2
2025/11/3,21.5,19.3,26.4,74,0,18.5,,1017.4,2
2025/11/4,21.9,18.4,27.4,84,0.5,15.8,,1015.6,2
2025/11/5,23.4,19.3,29.3,80,0,22.5,,1012.5,2
2025/11/6,24.5,19.4,31.3,78,0,10,,1013.2,1
2025/11/7,25,20.3,31.3,81,0,12.1,,1015.4,1
2025/11/8,24.3,21.4,30.3,86,0,8.1,,1015,2
2025/11/9,24.5,21.3,30.4,84,0,13,,1010.4,2
2025/11/10,23.3,21.3,26.5,82,1.9,27.7,,1005.7,2
2025/11/11,23.4,21.2,29.2,86,14.3,28.6,,1003.1,3
2025/11/12,21.6,20.3,22.6,95,4.4,32.1,,1005.2,4
2025/11/13,21.8,20.3,25.2,86,4.8,33.7,,1010.2,3
2025/11/14,21.7,18.3,27.2,75,1.6,26.2,,1015.5,2
2025/11/15,21.7,18.3,28.2,76,0,15.7,,1018.7,2
2025/11/16,21.9,17.4,29.2,84,0,13,,1019.6,2
2025/11/17,21.7,18.3,27.3,86,0,21.1,,1019,3
2025/11/18,18.5,15.3,22.3,80,0.1,44.5,38,1019.9,3
2025/11/19,15.1,13.3,18.3,80,0.3,36.3,36,1021.7,2
2025/11/20,17.3,13.3,22.2,70,0,25.1,,1021,2
2025/11/21,18.9,16.3,23.2,78,0,22.3,,1020.7,2
2025/11/22,19.6,14.4,27.2,77,0,14.2,,1019.7,2
2025/11/23,20.5,16.3,27.3,84,0,13.5,,1018.5,2
2025/11/24,21.3,17.3,27.3,86,0,9.4,,1017.5,2
2025/11/25,19.3,15.3,23.3,67,0,33.8,,1017.3,2
2025/11/26,17.7,14.3,24.4,68,0,14.8,,1017,2
2025/11/27,18.6,14.4,25.1,68,0.2,25,,1017.8,2
2025/11/28,18.2,14.4,24.2,64,0.5,15.7,,1016.2,2
2025/11/29,18.8,13.4,26.3,79,0,9.3,,1015.7,2
2025/11/30,19.6,14.4,27.3,85,0.4,9.7,,1015.2,2
2025/12/1,20.4,17.4,25.4,90,0,14.4,,1014.2,2
2025/12/2,21.3,18.3,27.3,84,0,18.5,,1014.2,2
2025/12/3,17.6,14.3,20.3,75,0,35.8,,1018.2,2
2025/12/4,17.3,14.3,22.4,66,0,19.8,,1020,2
2025/12/5,17.5,13.4,24.3,76,0,15.2,,1020,2
2025/12/6,18,13.3,24.4,80,0,16.2,,1018.6,2
2025/12/7,18.8,12.4,26.3,79,0,6.2,,1018.3,2
2025/12/8,19.3,15.3,24.3,78,0,26.3,,1018.2,2
2025/12/9,19.4,16.2,25.4,81,0,14.6,,1018.4,2
2025/12/10,18.9,14.4,24.4,88,0,13.9,,1018.9,2
2025/12/11,18.6,13.5,25.3,78,0,19.1,,1018,2
2025/12/12,19.3,15.3,26.4,77,0,16.9,,1017.3,2
2025/12/13,18,15.4,21.5,87,0,25.1,,1018.4,2
2025/12/14,15,11.4,19.3,64,0,34.8,,1019.9,2
2025/12/15,15.9,11.3,22.4,70,0,6.8,,1020.2,2
2025/12/16,16.5,10.5,23.4,85,0,10.6,,1019.9,2
2025/12/17,18,12.4,24.4,83,0,17.7,,1019.4,2
2025/12/18,19,14.4,26.3,81,0,11.1,,1018.5,2
2025/12/19,18.8,17.3,21.5,92,27,11.2,,1017.6,3
2025/12/20,19.7,17.3,25.3,91,5,11,,1017,3
2025/12/21,19.1,16.2,23.3,82,0,16.1,,1017.7,3
2025/12/22,18.3,14.3,25.3,73,0,11.3,,1017.8,2
2025/12/23,18.8,14.4,25.3,85,0,11.5,,1016.7,3
2025/12/24,19.8,15.2,25.4,86,0,10.8,,1014.4,2
2025/12/25,15.2,11.3,17.3,84,0.1,34.1,,1016.4,3
2025/12/26,13.1,11.2,16.3,75,0.4,21.7,,1018.6,2
2025/12/27,14.8,12.3,18.5,87,0.6,12.4,,1019.2,2
2025/12/28,15.8,13.2,21.4,87,0,13,,1017.4,2
2025/12/29,18,14.3,24.3,81,0,14.6,,1015.1,2
2025/12/30,17.5,13.4,22.3,85,0,21.5,,1014.2,3
2025/12/31,17.4,15.2,20.4,82,0,26.5,,1013.4,3
